abbr,state,territory_tier,state_side_tier,local_side_tier,split_territory,blended_score,state_side_score,local_side_score,confidence,posture,rdf_pct,budget_cycle,it_mod_signal,grant_env,arpa_cliff,purchasing_access,channel_occupied,local_capacity,tax_cap_pressure,population,pop_pct_chg,dom_mig_per_1k,permit_chg_pct,permits_per_100k,addressable_over_100k,local_accounts_held,open_jurisdictions,in_book_state_accounts,in_book_local_accounts,state_arr,local_arr,state_arr_per_million,it_note,grant_note,overlay_note
OH,Ohio,A,A,B,True,58.1,74.7,47.0,med,Stable,12.6,Biennial,funded,moderate,med,present,False,constrained,False,11900510.0,0.34,1.0,1.3,278.0,32,3,29,2,3,205769,1782145,17291,"DAS IT appropriations ~$1.1B across FY26–27 biennium, chargeback-funded","CyberOhio SLCGP sub-grants ($500k round for .gov migration, up to $9,500/entity, 20% match, closed March 13, 2026); 2025 Ohio law requires cities and counties to document cybersecurity plans (demand driver); State Term Schedule open to political subdivisions. Local Government Innovation Fund exists in statute (ORC 189.05) but is defunct — funding zeroed after ~$38M in grants/loans",State Term Schedule 534354 expires Dec 2026 - renew or replace; DAS IT ~1.1B across the FY26-27 biennium; 2025 law requires local cyber plans
PA,Pennsylvania,B,A,B,True,57.9,72.6,57.9,med,Distressed,15.5,Annual,funded,moderate,med,strong,False,constrained,False,13059432.0,0.1,-0.22,5.8,198.0,34,3,31,0,3,0,286025,0,"+$10M cyber, >$80M statewide tech/cyber; CODE PA ~$10.8–11.6M","COSTARS cooperative purchasing — 9,500+ eligible public-sector buyers, 100+ statewide contracts; DCED Local Share Account (gaming) and Municipal Assistance Program; PA Broadband Development Authority; BEAD $1.16B",COSTARS opens 9500+ buyers and DGS 4400028357 runs to Aug 2028; but 2559 subcounty units; +10M cyber and CODE PA
UT,Utah,B,B,A,True,57.5,57.5,66.6,med,Stable,10.9,Annual,none,moderate,low–med,present,False,typical,False,3538904.0,1.03,0.94,5.3,760.0,11,0,11,1,0,95340,0,26941,,"Utah DTS provides shared cybersecurity services to ~80% of local governments; state cooperative contracts. State aid $61/cap (#50) reflects centralization, not scarcity",Utah DTS provides shared cyber services to ~80pct of local governments
CA,California,B,B,A,True,57.4,54.4,62.3,med,Distressed,17.4,Annual,neutral,rich,low–med,present,True,typical,False,39355309.0,-0.02,-5.82,7.4,266.0,112,10,102,16,10,3303459,3907669,83939,"State IT budget ""holding the line""; no new large modernization fund","CASF Broadband Adoption Account ($30M FY25-26); CDT / Cal-Secure; CMAS & NASPO ValuePoint; state aid $3,115/cap. DEA $70M CalDEP terminated",CMAS/NASPO via Carahsoft only; Cal Cities and CSDA both endorse VC3; state IT budget holding the line
MT,Montana,B,A,B,True,57.0,65.8,48.3,low,Stable,15.3,Biennial,funded,thin,high,present,False,constrained,True,1144694.0,0.63,5.55,12.4,454.0,5,0,5,0,0,0,0,0,SITSD 2027 biennium +$19.0M (+13.3%),ConnectMT broadband; small-state ARPA floor ($906M),State MSA cooperative clause reaches other states but initial term ran to 1/31/2021 - verify; SITSD 2027 biennium +19.0M
AL,Alabama,B,A,B,True,56.8,58.4,55.1,low,Stable,19.5,Annual,none,moderate,med,coop_only,True,typical,False,5193088.0,0.58,4.5,6.4,363.0,19,1,18,1,1,75086,57780,14459,,Alabama Broadband Accessibility Fund / ADECA; BEAD $1.40B; no state local-tech grant,VC3 holds the Alabama league endorsement
MD,Maryland,B,B,B,False,56.3,52.0,56.3,high,Distressed,7.8,Annual,headwind,rich,med,strong,True,typical,False,6265347.0,0.32,-1.94,-11.7,211.0,15,2,13,0,2,0,256954,0,DoIT FY27 $504.6M (+0.9%); 3% tax on IT/data services is a vendor headwind,"Local Cybersecurity Support Fund (MDEM; $10M/yr authorized FY2026–27; 2026 round closed Aug 28); SLCGP $4.9M FFY24 round (due Sept 22, 2026); DoIT Cyber Preparedness Unit; state aid $1,935/cap",COTS Master to Sep 2027; 3pct state tax on IT and data services is a direct vendor headwind; MML endorses VC3
OK,Oklahoma,B,B,B,False,55.7,57.6,52.0,med,Constrained,17.1,Annual,none,thin,high,strong,False,typical,False,4123288.0,0.62,3.51,5.2,367.0,11,1,10,2,1,79354,300031,19245,,"OMES consolidated IT / shared services to some locals; state aid $337/cap; GAO: <50% of SLFRF spent, and $0 spent on revenue replacement",OMES SW1041C runs to Oct 2030 and OMES actively markets statewide contracts to cities
DC,District of Columbia,B,D,B,True,51.7,34.3,51.7,med,Distressed,8.2,Annual,none,moderate,low,coop_only,False,typical,False,693645.0,0.34,-5.95,47.7,229.0,1,0,1,0,1,0,0,0,,OCTO centralized; received state + city + county SLFRF ($1.80B state share alone),Single consolidated OCTO buyer
SC,South Carolina,B,B,B,False,51.3,51.0,51.3,med,Constrained,13.8,Annual,none,thin,high,coop_only,True,typical,False,5570274.0,1.46,11.96,1.1,818.0,19,1,18,0,1,0,237874,0,,SC ORS broadband office; state aid $386/cap; GAO: <50% of SLFRF spent and $0 spent on negative-economic-impacts,VC3 holds the MASC endorsement
MS,Mississippi,B,B,C,True,50.8,54.8,46.9,med,Stable,9.9,Annual,none,thin,high,coop_only,False,typical,False,2954160.0,0.14,-0.31,9.2,283.0,7,0,7,0,0,0,0,0,,"BEAD $1.20B (large, but ISP-directed); no state local-tech grant found; GAO: <50% of SLFRF spent as of 3/31/25",
WI,Wisconsin,B,B,C,True,49.9,57.8,44.7,med,Stable,9.3,Biennial,none,moderate,high,present,True,constrained,False,5972787.0,0.26,1.17,4.6,425.0,19,3,16,2,3,53544,429986,8965,,"DET/WEM SLCGP (FFY24 NOFO released Aug 17, 2026, due Oct 30, 2026; MFA/MDR/EDR/XDR eligible); VendorNet cooperative purchasing; BEAD $1.06B. $29M DOL UI modernization grant terminated May 2025 and not restored; $80.8M SLFRF UI project winding down",VendorNet cooperative purchasing; township in 71 of 72 counties; VC3 holds the League of Wisconsin Municipalities endorsement
AZ,Arizona,B,C,B,True,49.8,46.6,57.3,low,Constrained,9.1,Annual,headwind,moderate,med,present,False,typical,False,7623818.0,0.89,4.08,-16.6,669.0,23,3,20,7,3,598447,366230,78497,~5% across-the-board agency reductions proposed,ADOA/ASET statewide contracts open to locals; AZDOHS cyber sub-awards; BEAD $993M,ADOA/ASET statewide contracts open to locals; ~5pct across-the-board agency reductions proposed
MI,Michigan,B,A,B,True,49.5,62.7,49.5,med,Constrained,13.1,Annual,none,moderate,high,strong,False,constrained,False,10127884.0,0.28,0.18,2.9,231.0,27,1,26,0,1,0,489446,0,,"MiDEAL statewide extended purchasing for locals; Michigan Cyber Partners; SLCGP ($4.78M/$9.61M/$7.18M/$2.35M FY22–25, match rising to 40%); BEAD $1.56B. DEA $20.5M MITTEN canceled",Live MiDEAL contract to 9/30/2027 covering state and locals; Revize entrenched in small-city web; ~1300 munis with thin IT
SD,South Dakota,B,B,B,False,49.3,49.9,48.8,low,Stable,12.4,Annual,none,thin,high,coop_only,False,constrained,False,935094.0,0.86,2.32,5.9,574.0,3,0,3,0,0,0,0,0,,ConnectSD broadband; small-state ARPA floor ($974.5M); no local tech grant found,
NV,Nevada,B,B,B,False,49.1,49.1,53.3,med,Stable,18.5,Biennial,none,moderate,high,coop_only,False,typical,False,3282188.0,0.88,4.54,-19.8,564.0,7,0,7,3,0,163668,0,49866,,"Office of Science, Innovation & Technology; highest-unemployment-driven SLFRF per capita (~$861 state share)",
TN,Tennessee,B,B,B,False,48.4,47.9,48.7,med,Constrained,8.5,Annual,none,moderate,high,coop_only,True,typical,False,7315076.0,0.88,5.79,-4.8,590.0,23,2,21,1,2,244500,667398,33424,,"Tennessee Broadband Accessibility Grants (state-funded); statewide contracts open to locals; state aid $1,871/cap. GAO: <50% of SLFRF spent as of 3/31/25",VC3 holds the TML endorsement
DE,Delaware,B,C,B,True,47.6,41.0,54.2,low,Constrained,5.1,Annual,none,moderate,high,coop_only,False,typical,False,1059952.0,0.94,6.47,-5.4,610.0,3,0,3,0,0,0,0,0,,DTI shared services to local entities; small BEAD $108M,
IA,Iowa,C,C,B,True,46.3,42.3,50.3,low,Constrained,9.0,Annual,none,moderate,med,strong,True,constrained,False,3238387.0,0.25,-0.3,3.6,413.0,11,1,10,1,1,511995,89731,158102,,Empower Rural Iowa broadband grants (state-funded); Iowa DAS statewide contracts; BEAD $415M,Two state master agreements incl. 2019-BUS-228 open to other governmental entities; Iowa League endorses VC3
NJ,New Jersey,C,C,B,True,46.3,42.5,54.0,high,Distressed,0.0,Annual,none,rich,high,coop_only,False,typical,False,9548215.0,0.44,-3.92,-9.2,335.0,23,1,22,2,1,227906,23334,23869,,"LEAP (Local Efficiency Achievement Program) — $2M appropriated FY2026, $1,930,793 awarded; Implementation Grants explicitly cover new technology costs, IT personnel, and cybersecurity, up to 75% / $300k per project, with a required technology or cybersecurity plan; NJCCIC integrated whole-of-state model. GAO: <50% of SLFRF spent as of 3/31/25",LEAP implementation grants explicitly cover technology; zero rainy day fund
WV,West Virginia,C,B,C,True,45.5,47.9,43.2,med,Constrained,23.5,Annual,none,thin,high,coop_only,False,constrained,False,1766147.0,-0.07,3.63,1.1,235.0,3,0,3,0,0,0,0,0,,"BEAD $1.21B (very large per capita, ISP-directed); state aid $404/cap; GAO: <50% of SLFRF spent as of 3/31/25",
WY,Wyoming,C,B,C,True,45.2,47.3,43.1,low,Stable,70.3,Biennial,none,thin,high,coop_only,False,constrained,False,588753.0,0.35,2.5,-2.2,371.0,1,0,1,0,0,0,0,0,,Small-state ARPA floor; no local government technology grant program found,
CO,Colorado,C,C,B,True,45.0,42.5,50.1,high,Distressed,9.0,Annual,headwind,rich,med,present,False,typical,True,6012561.0,0.4,-2.01,4.6,559.0,24,2,22,4,2,307639,702396,51166,IT capital request only $9.8M GF + $17.1M cash funds,"SIPA GovGrants (80+ awards, $30M+ since 2024) and SIPA Micro-Grants ($250–$10k; 38 awards / $247k in 2026-27); SIPA also acts as procurement vehicle and Colorado.gov platform",SIPA doubles as procurement vehicle and grant source; IT capital request only 9.8M GF; TABOR caps
RI,Rhode Island,C,C,B,True,45.0,41.3,48.8,low,Constrained,5.2,Annual,none,moderate,high,coop_only,False,typical,False,1114521.0,0.37,-1.39,24.8,155.0,4,0,4,0,0,0,0,0,,"Centralized RI DoIT; state aid $1,616/cap; small-state ARPA floor",
NH,New Hampshire,C,C,B,True,44.2,40.4,48.0,med,Constrained,11.5,Biennial,none,thin,high,coop_only,False,constrained,False,1415342.0,0.48,4.63,4.5,358.0,5,0,5,0,0,0,0,0,,No broad-based income/sales tax; DoIT shared services; no local tech grant found; small-state ARPA floor ($995M),
KS,Kansas,C,C,B,True,44.1,44.1,48.1,low,Stable,18.1,Annual,none,thin,high,coop_only,False,constrained,False,2977220.0,0.4,-0.17,20.2,336.0,10,0,10,4,0,402855,0,135313,,Kansas Office of Broadband Development; KISO services; state aid $222/cap (#45),Township-heavy; 2026 property tax attempts failed
OR,Oregon,C,C,C,False,43.3,42.0,46.0,low,Constrained,17.1,Biennial,none,moderate,med,coop_only,False,typical,False,4273586.0,0.19,0.52,5.3,351.0,16,2,14,4,2,231897,410694,54263,,Oregon Broadband Fund; Oregon Cybersecurity Center of Excellence; DAS price agreements; state aid $418/cap,
LA,Louisiana,C,C,C,False,43.2,45.9,40.6,low,Constrained,9.8,Annual,none,moderate,high,coop_only,False,typical,False,4618189.0,0.07,-3.12,-2.8,311.0,18,3,15,3,3,158911,569777,34410,,GUMBO / ConnectLA broadband; consolidated Office of Technology Services; BEAD $1.36B,
NE,Nebraska,C,C,C,False,42.8,37.5,42.8,low,Distressed,15.2,Biennial,none,thin,med,coop_only,False,constrained,True,2018006.0,0.62,-0.18,-1.5,522.0,5,1,4,0,1,0,28683,0,,Nebraska Broadband Office; state aid $884/cap; no local tech grant found,
IL,Illinois,C,B,C,True,42.4,52.2,40.0,med,Constrained,4.5,Annual,none,moderate,med,coop_only,False,constrained,False,12719141.0,0.13,-3.15,-2.2,147.0,27,4,23,1,4,76184,1666026,5990,,"DoIT; Connect Illinois; DCEO broadband; state aid $1,440/cap; BEAD $1.04B. DEA program canceled, no replacement appropriation reported",No Granicus statewide vehicle found; 6930 local governments is the most in the nation
ID,Idaho,C,C,A,True,42.3,42.3,59.7,low,Constrained,21.3,Annual,headwind,thin,med,coop_only,False,typical,False,2029733.0,1.44,9.81,1.7,877.0,7,0,7,1,0,88765,0,43733,"4% agency holdback FY26, further 5% planned FY27",Idaho Broadband Fund; no local tech grant found; GAO: Idaho reported $0 revenue-replacement spending,4pct agency holdback FY26 and a further 5pct planned FY27
HI,Hawai'i,C,C,C,False,42.2,41.2,43.3,low,Constrained,14.5,Biennial,none,moderate,high,coop_only,False,typical,False,1432820.0,-0.15,-6.19,-5.1,259.0,4,0,4,0,0,0,0,0,,"Consolidated state / 4 counties; state aid $84/cap reflects centralization, not scarcity",Consolidated state plus four counties
MO,Missouri,C,C,C,False,42.1,42.3,41.9,low,Distressed,5.8,Annual,none,thin,med,coop_only,False,constrained,False,6270541.0,0.43,2.24,4.8,274.0,18,2,16,3,2,126709,660757,20207,,State aid $139/cap (#48); BEAD $1.74B (3rd largest); no local tech grant found,
VT,Vermont,C,C,C,False,41.2,41.8,40.7,low,Constrained,18.2,Annual,none,moderate,high,coop_only,False,constrained,False,644663.0,-0.29,-1.13,-9.9,381.0,1,0,1,0,0,0,0,0,,Vermont Community Broadband Board; Communications Union Districts; small-state ARPA floor,
CT,Connecticut,C,C,B,True,40.5,40.5,51.4,med,Stable,18.8,Biennial,none,moderate,med,coop_only,True,typical,False,3688496.0,0.38,-1.61,1.8,190.0,13,0,13,4,0,745164,0,202024,,"Regional Performance Incentive Program (COGs/RESCs, rolling) — note: no longer funds shared IT services after 2021 amendments; high state aid $2,123/cap; small BEAD $144M",VC3 holds the CCM endorsement
AK,Alaska,C,C,C,False,40.2,38.6,41.9,low,Distressed,51.7,Annual,none,moderate,high,coop_only,False,typical,False,737270.0,0.1,-6.14,-11.6,115.0,3,0,3,0,0,0,0,0,,"High state aid ($3,040/cap) but structural deficit; BEAD $1.02B; no local tech grant program found",Structural deficit despite 51.7pct reserves
KY,Kentucky,D,D,B,True,35.8,34.7,49.1,low,Constrained,22.5,Biennial,none,moderate,med,coop_only,False,typical,False,4606864.0,0.5,1.58,-4.4,312.0,11,1,10,12,1,936944,72050,203380,,Commonwealth Office of Technology services to locals; BEAD $1.09B; state aid $338/cap,
ND,North Dakota,D,D,C,True,34.7,34.7,42.5,med,Stable,30.0,Biennial,none,moderate,high,coop_only,False,constrained,True,799358.0,0.75,0.64,-1.9,299.0,3,0,3,7,0,398584,0,498630,,Strong reserves; BEAD $130M; GAO: 100% of reported SLFRF spending went to revenue replacement — highest structural substitution of any state,Only 6 of 53 counties employ full-time IT staff; statutory hiring freeze and 10pct cut mandate
WA,Washington,D,D,A,True,33.6,33.6,70.1,med,Distressed,2.8,Biennial,none,rich,med,present,False,typical,False,8001020.0,0.92,1.15,10.5,436.0,23,0,23,5,0,994013,0,124236,,"SLCGP — $16.6M+ already allocated from FY22–24 awards, final $5.35M round closed June 12, 2026; WaTech whole-of-state; DES master contracts. Offset by a state budget shortfall and no state replacement for canceled DEA funds",DES 01313 names Granicus with MCUA and out-of-state access but term dates appear lapsed - verify
ME,Maine,D,D,B,True,26.9,26.9,52.9,med,Constrained,13.2,Biennial,none,moderate,high,coop_only,False,constrained,False,1414874.0,0.46,5.23,10.2,476.0,5,0,5,2,0,356387,0,251886,,"Maine Connectivity Authority — $150M+ state and federal invested since 2021 (Connectivity Hubs, Regional & Wabanaki Broadband Partners); state bond funding",
